,Registration Price,Renewal Price,TLD,Minimum Term
0,59.99,59.99,.ac,1 Year
1,13.99,33.99,.academy,1 Year
2,19.99,87.99,.accountant,1 Year
3,16.99,108.99,.accountants,1 Year
4,13.99,42.99,.actor,1 Year
5,70.99,70.99,.ae,1 Year
6,99.0,99.0,.aero,1 Year
7,3.99,21.99,.agency,1 Year
8,6.99,33.99,.airforce,1 Year
9,99.99,99.99,.am,1 Year
10,18.99,21.99,.app,1 Year
11,13.99,79.99,.archi,1 Year
12,13.99,33.99,.army,1 Year
13,11.99,11.99,.art,1 Year
14,4.99,19.99,.asia,1 Year
15,13.99,33.99,.associates,1 Year
16,79.99,79.99,.at,1 Year
17,32.99,34.99,.attorney,1 Year
18,9.99,11.99,.au,1 Year
19,26.99,33.99,.auction,1 Year
20,89.99,130.99,.audio,1 Year
21,19.99,65.99,.baby,1 Year
22,13.99,27.99,.band,1 Year
23,83.99,83.99,.bar,1 Year
24,9.99,33.99,.bargains,1 Year
25,39.99,39.99,.be,1 Year
26,33.99,33.99,.beer,1 Year
27,64.99,59.99,.berlin,1 Year
28,19.99,109.99,.best,1 Year
29,2.99,4.99,.bid,1 Year
30,9.99,33.99,.bike,1 Year
31,50.99,50.99,.bingo,1 Year
32,4.99,18.99,.biz,1 Year
33,13.99,52.99,.black,1 Year
34,89.99,130.99,.blackfriday,1 Year
35,6.99,32.99,.blog,1 Year
36,5.99,17.99,.blue,1 Year
37,2.99,16.99,.boston,1 Year
38,3.99,33.99,.boutique,1 Year
39,83.99,83.99,.build,1 Year
40,33.99,33.99,.builders,1 Year
41,21.99,21.99,.business,1 Year
42,39.99,39.99,.buzz,1 Year
43,50.0,50.0,.bz,1 Year
44,12.99,12.99,.ca,1 Year
45,33.99,33.99,.cab,1 Year
46,9.99,33.99,.cafe,1 Year
47,45.99,45.99,.camera,1 Year
48,45.99,45.99,.camp,1 Year
49,9.99,58.99,.capital,1 Year
50,33.99,33.99,.cards,1 Year
51,13.99,33.99,.care,1 Year
52,55.99,55.99,.careers,1 Year
53,9.99,11.99,.casa,1 Year
54,5.99,33.99,.cash,1 Year
55,13.99,149.99,.casino,1 Year
56,33.99,33.99,.catering,1 Year
57,10.99,60.0,.cc,1 Year
58,6.99,21.99,.center,1 Year
59,34.99,36.99,.ch,1 Year
60,9.99,33.99,.chat,1 Year
61,6.99,33.99,.cheap,1 Year
62,8.99,41.99,.christmas,1 Year
63,26.99,33.99,.church,1 Year
64,65.99,65.99,.ci,1 Year
65,6.99,21.99,.city,1 Year
66,65.99,65.99,.cl,1 Year
67,13.99,58.99,.claims,1 Year
68,45.99,45.99,.cleaning,1 Year
69,3.99,9.99,.click,1 Year
70,58.99,58.99,.clinic,1 Year
71,33.99,33.99,.clothing,1 Year
